TICKER,CUR_MKT_CAP,TRADE_DATE
AGR,3904.13137,2025-07-29
CLX,1420.24,2025-07-29
DXS,6399.0895199999995,2025-07-29
HU1,67.0,2025-07-29
HUB,503.54391999999996,2025-07-29
KOS,8410.29986,2025-07-29
LHC,1245.6,2025-07-29
SZG,2086.124,2025-07-29
TCB,239498.47394999999,2025-07-29
VAV,1915.2,2025-07-29
RYG,537.75,2025-07-29
AAS,2322.99516,2025-07-29
BBC,1556.47302,2025-07-29
BCC,1034.96242,2025-07-29
BHA,1617.0,2025-07-29
BMJ,1112.9997700000001,2025-07-29
C4G,3144.2466400000003,2025-07-29
IDV,1146.3824,2025-07-29
QCG,3645.46112,2025-07-29
SKH,858.0,2025-07-29
TNG,2488.80448,2025-07-29
VGC,25555.95,2025-07-29
ASM,3035.4616499999997,2025-07-29
CLW,600.6,2025-07-29
DSC,3646.1328599999997,2025-07-29
FIC,1549.4,2025-07-29
FIT,1686.0678500000001,2025-07-29
GSP,804.06837,2025-07-29
SCS,6167.65383,2025-07-29
SSH,33075.0,2025-07-29
TDG,82.56016000000001,2025-07-29
DDV,4441.74096,2025-07-29
HDB,92619.1094,2025-07-29
LGC,11571.2859,2025-07-29
LPB,102463.77603000001,2025-07-29
PGC,844.74999,2025-07-29
SMA,206.58129,2025-07-29
TDC,1552.1816000000001,2025-07-29
VDP,861.25229,2025-07-29
AST,2875.5,2025-07-29
HBC,2534.6568700000003,2025-07-29
HCD,280.887,2025-07-29
HTV,133.6608,2025-07-29
LAF,312.93579,2025-07-29
PPH,2113.18622,2025-07-29
PVI,14522.99575,2025-07-29
S99,892.20898,2025-07-29
SEB,1475.19857,2025-07-29
TDP,2990.73427,2025-07-29
TNC,660.275,2025-07-29
VDS,4624.29,2025-07-29
ABW,991.27,2025-07-29
BKG,213.39488,2025-07-29
HVN,99660.61356999999,2025-07-29
MCP,596.05692,2025-07-29
NHH,1240.782,2025-07-29
OCB,31808.68007,2025-07-29
RDP,63.79074,2025-07-29
SZC,6569.484,2025-07-29
VPB,187240.59698,2025-07-29
DHM,229.6624,2025-07-29
EVE,449.18357000000003,2025-07-29
FUC,,2025-07-29
GMC,144.9844,2025-07-29
KDH,30587.06259,2025-07-29
LSS,823.1195799999999,2025-07-29
NCG,1149.92952,2025-07-29
NS2,1988.0,2025-07-29
PMW,1874.9937,2025-07-29
POS,736.0,2025-07-29
SPM,147.339,2025-07-29
VCS,7856.0,2025-07-29
VNE,429.14887,2025-07-29
ACG,5684.705559999999,2025-07-29
ACV,210046.69952000002,2025-07-29
ASP,205.36748,2025-07-29
CSC,888.8240999999999,2025-07-29
CTF,2099.60221,2025-07-29
DAT,539.9810600000001,2025-07-29
DNH,20190.72,2025-07-29
DRC,2625.31657,2025-07-29
FUE,392.903,2025-07-29
MVN,69994.2804,2025-07-29
NCT,2831.1322,2025-07-29
NHT,259.23994,2025-07-29
SCG,5516.5,2025-07-29
SII,871.0484,2025-07-29
CTS,8412.02547,2025-07-29
DBC,11194.6829,2025-07-29
DHA,682.55348,2025-07-29
GKM,128.88037,2025-07-29
HTG,1701.12795,2025-07-29
HTN,944.63396,2025-07-29
MCM,3278.0,2025-07-29
PBC,781.76932,2025-07-29
SSI,65663.35259000001,2025-07-29
SZB,1095.0,2025-07-29
TMT,464.66255,2025-07-29
VPS,220.14713,2025-07-29
YBM,208.06325,2025-07-29
DRH,403.28764,2025-07-29
FOC,1234.13223,2025-07-29
GDT,493.41782,2025-07-29
PTC,258.17682,2025-07-29
TVC,1039.7403,2025-07-29
VC3,3641.89232,2025-07-29
VNM,132085.18412,2025-07-29
BAF,10579.953140000001,2025-07-29
EVG,1463.69888,2025-07-29
LBM,1428.0,2025-07-29
RAL,2272.32593,2025-07-29
SJG,8900.83482,2025-07-29
STG,3596.07287,2025-07-29
SVD,107.11092,2025-07-29
VLC,3378.61661,2025-07-29
BHN,8669.32,2025-07-29
BID,262598.9357,2025-07-29
BVB,8971.48,2025-07-29
FOX,52821.5876,2025-07-29
LTG,866.3765999999999,2025-07-29
MCH,114607.98831,2025-07-29
PMG,347.52209000000005,2025-07-29
SBH,5267.14,2025-07-29
SGB,4607.668320000001,2025-07-29
TTA,1921.6508000000001,2025-07-29
VIP,893.54578,2025-07-29
VPI,17154.65733,2025-07-29
VSI,246.83994,2025-07-29
CLC,1315.62067,2025-07-29
COM,465.98071999999996,2025-07-29
CTR,10866.6585,2025-07-29
DAH,282.912,2025-07-29
DHB,2504.24,2025-07-29
DP3,1130.8964799999999,2025-07-29
DXG,19868.241690000003,2025-07-29
IFS,2161.0964,2025-07-29
TCI,1060.24424,2025-07-29
TDM,6354.92,2025-07-29
TIX,1140.0,2025-07-29
TYA,515.4337800000001,2025-07-29
AGP,1165.74874,2025-07-29
AVC,4150.37848,2025-07-29
BFC,2463.9405,2025-07-29
BSR,61699.94236,2025-07-29
D2D,1130.20136,2025-07-29
GTA,97.317,2025-07-29
GVR,118000.0,2025-07-29
HPI,1890.0,2025-07-29
JVC,698.62606,2025-07-29
MIE,965.5422,2025-07-29
NVL,31786.70397,2025-07-29
SKV,685.4,2025-07-29
VTO,1006.31999,2025-07-29
BSA,1577.68301,2025-07-29
DPG,4551.07629,2025-07-29
HDG,9989.00195,2025-07-29
HQC,2191.07724,2025-07-29
L10,192.863,2025-07-29
MWG,98465.22042,2025-07-29
SBV,245.91578,2025-07-29
TOS,5269.98062,2025-07-29
TTP,,2025-07-29
VSF,13650.0,2025-07-29
BCG,3159.95621,2025-07-29
FUE,,2025-07-29
HNG,6651.32337,2025-07-29
HWS,1302.0067,2025-07-29
IPA,3934.57826,2025-07-29
SIP,15955.24294,2025-07-29
SZL,1192.22194,2025-07-29
TNA,182.15585000000002,2025-07-29
TNT,306.0,2025-07-29
TVB,961.79242,2025-07-29
VFG,2486.07179,2025-07-29
VRE,63624.915479999996,2025-07-29
TTN,642.73125,2025-07-29
HNA,5739.66592,2025-07-29
LCG,1969.52649,2025-07-29
VFS,2527.1976400000003,2025-07-29
ANV,6163.820610000001,2025-07-29
BRC,179.43746,2025-07-29
CHP,5039.10451,2025-07-29
FUE,131.652,2025-07-29
HVH,595.80388,2025-07-29
LGL,210.62314,2025-07-29
MHC,465.19532,2025-07-29
PEG,970.62213,2025-07-29
SVC,1425.66937,2025-07-29
APF,1493.29219,2025-07-29
BAB,12676.54503,2025-07-29
CAV,,2025-07-29
DVP,3032.0,2025-07-29
EVS,1186.5644499999999,2025-07-29
HSL,316.25238,2025-07-29
HTM,2287.5694399999998,2025-07-29
ILB,1088.68552,2025-07-29
NHA,1115.1797199999999,2025-07-29
SMC,920.08546,2025-07-29
TAL,8950.095,2025-07-29
TBH,1219.8431799999998,2025-07-29
TIP,1348.91303,2025-07-29
HT1,5399.497240000001,2025-07-29
LM8,126.27777,2025-07-29
PHC,262.02556,2025-07-29
PVD,11784.656130000001,2025-07-29
SAB,60729.328310000004,2025-07-29
SSC,473.80271999999997,2025-07-29
TID,4780.0,2025-07-29
VGG,2094.75,2025-07-29
VSC,8554.36277,2025-07-29
YEG,2493.42646,2025-07-29
AAA,2981.74107,2025-07-29
AAT,238.66038,2025-07-29
DC4,1314.94272,2025-07-29
DTA,86.5066,2025-07-29
HUT,15422.60676,2025-07-29
KSB,2042.8201000000001,2025-07-29
MSR,22752.517190000002,2025-07-29
NAB,25392.18523,2025-07-29
NT2,5757.52058,2025-07-29
PJT,231.65873000000002,2025-07-29
SGI,943.30875,2025-07-29
SQC,1824.083,2025-07-29
TN1,621.98928,2025-07-29
CRC,772.91914,2025-07-29
DTP,2749.19971,2025-07-29
HAN,1396.3752,2025-07-29
ICT,421.6235,2025-07-29
MIG,3515.0123900000003,2025-07-29
MVC,1380.0,2025-07-29
NVB,16797.24834,2025-07-29
PRE,2046.24,2025-07-29
QNP,1264.83144,2025-07-29
VNG,758.7575400000001,2025-07-29
ADP,641.65982,2025-07-29
BVH,36819.209090000004,2025-07-29
DCF,1805.9534199999998,2025-07-29
FUE,59.85,2025-07-29
HAS,60.84,2025-07-29
LDG,1339.42705,2025-07-29
PET,3511.15811,2025-07-29
PLP,349.99922999999995,2025-07-29
SHB,61182.02478,2025-07-29
VMD,260.94053,2025-07-29
AGG,2958.01107,2025-07-29
BCE,406.0,2025-07-29
CNT,653.80283,2025-07-29
DHC,2863.92926,2025-07-29
FUE,468.95,2025-07-29
PVT,8505.75535,2025-07-29
SJF,134.64,2025-07-29
TDW,467.5,2025-07-29
TLG,4685.783759999999,2025-07-29
TMS,7112.12607,2025-07-29
VOS,2114.0,2025-07-29
DTK,8671.146929999999,2025-07-29
DVN,5403.6,2025-07-29
FCM,189.52917000000002,2025-07-29
FUC,,2025-07-29
FUC,,2025-07-29
KHP,730.55863,2025-07-29
LDW,1702.08,2025-07-29
SRC,791.38698,2025-07-29
TCT,229.5446,2025-07-29
GMA,1161.99994,2025-07-29
INN,1043.0604,2025-07-29
MML,11516.84076,2025-07-29
NLG,15306.74333,2025-07-29
OPC,1501.99342,2025-07-29
SRF,294.28285,2025-07-29
TLP,1656.0593000000001,2025-07-29
TNH,2356.57896,2025-07-29
VTB,109.12565,2025-07-29
MBB,163846.02091999998,2025-07-29
MVB,1869.0,2025-07-29
S4A,1536.08,2025-07-29
SBG,622.49954,2025-07-29
SJD,1052.22896,2025-07-29
VCR,9828.0,2025-07-29
VFM,,2025-07-29
CLL,1156.0,2025-07-29
PVC,1006.81134,2025-07-29
SFG,517.2912,2025-07-29
TNI,144.9,2025-07-29
VGV,1130.4725600000002,2025-07-29
CIG,433.83955,2025-07-29
CMX,743.86263,2025-07-29
DSP,1447.9448,2025-07-29
FPT,180571.75483000002,2025-07-29
HAH,9222.50368,2025-07-29
HID,225.67261,2025-07-29
NAV,140.39965,2025-07-29
PC1,8726.46775,2025-07-29
SFC,234.86235,2025-07-29
VGT,6100.0,2025-07-29
C32,263.02754,2025-07-29
DRG,1355.46,2025-07-29
HAR,384.65004,2025-07-29
MBS,19360.06337,2025-07-29
NNC,803.368,2025-07-29
SHA,137.46582999999998,2025-07-29
SVI,736.58188,2025-07-29
SWC,2355.21,2025-07-29
TRC,1986.325,2025-07-29
TV2,2633.52044,2025-07-29
ACB,116858.93763,2025-07-29
BCM,70483.5,2025-07-29
HSG,11177.68156,2025-07-29
PHP,12457.176,2025-07-29
SBB,1417.89748,2025-07-29
TCH,16438.10974,2025-07-29
TTF,1180.59746,2025-07-29
VIC,432838.48871,2025-07-29
VND,32044.41306,2025-07-29
HTL,330.0,2025-07-29
HVT,939.47557,2025-07-29
KDC,15910.36675,2025-07-29
PAP,6704.8,2025-07-29
SAV,425.64723,2025-07-29
TCL,1025.38682,2025-07-29
TIS,993.54006,2025-07-29
TTD,1158.624,2025-07-29
UIC,406.26120000000003,2025-07-29
CCI,420.98652000000004,2025-07-29
CMG,8388.642039999999,2025-07-29
CNG,1010.85978,2025-07-29
FUE,12809.016,2025-07-29
GEE,43883.39472,2025-07-29
TLD,584.615,2025-07-29
VSN,1423.9192,2025-07-29
ABS,296.0,2025-07-29
FUE,310.757,2025-07-29
HAG,14063.410460000001,2025-07-29
SKG,734.7995500000001,2025-07-29
ST8,172.84446,2025-07-29
TSJ,2371.07758,2025-07-29
VIB,63144.30592,2025-07-29
BCR,1137.11979,2025-07-29
BTT,540.0,2025-07-29
CTI,1651.19992,2025-07-29
DGW,9479.046279999999,2025-07-29
DHT,6998.9221,2025-07-29
HHS,7386.96005,2025-07-29
NO1,173.28,2025-07-29
PNJ,28485.409789999998,2025-07-29
SGN,2246.7506000000003,2025-07-29
TCO,363.31922,2025-07-29
VOC,1693.02,2025-07-29
VTP,13883.26679,2025-07-29
ASG,1566.03554,2025-07-29
BVS,2729.16548,2025-07-29
CKG,2281.48612,2025-07-29
CTG,235205.63856,2025-07-29
DHG,13283.80081,2025-07-29
DLG,993.70827,2025-07-29
DMC,2170.46656,2025-07-29
GDA,2477.33662,2025-07-29
GEG,5858.34187,2025-07-29
HHV,6242.9134699999995,2025-07-29
HVX,131.21979000000002,2025-07-29
L14,1043.04485,2025-07-29
LHG,1587.88132,2025-07-29
LIC,3051.0,2025-07-29
NTP,11151.691939999999,2025-07-29
SAS,5151.24373,2025-07-29
SFI,646.7001,2025-07-29
SGT,2501.2542200000003,2025-07-29
TBC,2413.0,2025-07-29
TBD,3601.6833500000002,2025-07-29
TVS,3223.00879,2025-07-29
VFC,3481.50939,2025-07-29
VGS,1821.11499,2025-07-29
ABT,718.41268,2025-07-29
CDN,3227.4,2025-07-29
CMM,1860.09996,2025-07-29
CSV,3939.32179,2025-07-29
DNW,4032.0,2025-07-29
DRL,526.3,2025-07-29
FTS,14223.743269999999,2025-07-29
HTP,110.16597999999999,2025-07-29
ISH,1174.5,2025-07-29
KBC,27310.888010000002,2025-07-29
PGB,6426.0,2025-07-29
SBT,19956.35343,2025-07-29
TPB,40421.9298,2025-07-29
VAF,719.40815,2025-07-29
VNR,4052.7381299999997,2025-07-29
VNS,663.6629,2025-07-29
ABR,256.0,2025-07-29
BRR,2137.5,2025-07-29
ITC,1554.14779,2025-07-29
KLB,7735.71219,2025-07-29
LSG,1926.0,2025-07-29
PAT,2327.5,2025-07-29
SID,1900.0,2025-07-29
SJS,18491.74194,2025-07-29
VIT,899.9939499999999,2025-07-29
BWE,10413.62129,2025-07-29
CII,8990.38624,2025-07-29
IDC,14750.99683,2025-07-29
NET,1722.43496,2025-07-29
PHS,2600.12128,2025-07-29
PLC,2286.57112,2025-07-29
PVS,16346.447119999999,2025-07-29
TCR,136.27543,2025-07-29
THG,1696.5799299999999,2025-07-29
TVN,5356.2,2025-07-29
VAB,8639.36069,2025-07-29
VIF,5635.0,2025-07-29
APG,2661.10111,2025-07-29
FDC,579.35232,2025-07-29
FUE,,2025-07-29
FUE,181.72,2025-07-29
GEX,48007.62403,2025-07-29
IDJ,1110.33724,2025-07-29
PHR,8333.20068,2025-07-29
PXL,2939.1615899999997,2025-07-29
SC5,245.72938,2025-07-29
SHP,3643.42867,2025-07-29
VCF,8664.7983,2025-07-29
VCP,2295.83663,2025-07-29
VPG,734.7348900000001,2025-07-29
APH,1602.31964,2025-07-29
FMC,2429.1972299999998,2025-07-29
NTC,3931.1967200000004,2025-07-29
PAN,6893.52675,2025-07-29
SBS,938.28864,2025-07-29
VNL,318.16096000000005,2025-07-29
C47,299.46029999999996,2025-07-29
CRE,4080.3701499999997,2025-07-29
DRI,951.6,2025-07-29
IDP,13164.35254,2025-07-29
KSF,19590.0,2025-07-29
PDN,5400.9977,2025-07-29
PDR,18734.40446,2025-07-29
STK,2420.75495,2025-07-29
VCG,15935.44448,2025-07-29
BMI,2732.4420499999997,2025-07-29
CC1,12284.860470000001,2025-07-29
E1V,6229.44,2025-07-29
PTL,328.0,2025-07-29
VHM,378292.64557,2025-07-29
VPD,2734.02398,2025-07-29
CVT,1062.20118,2025-07-29
HII,326.32716,2025-07-29
HND,5950.0,2025-07-29
HTI,551.3773199999999,2025-07-29
L18,1363.04583,2025-07-29
PLX,46376.61658,2025-07-29
PTI,2821.8558199999998,2025-07-29
QNS,17941.229870000003,2025-07-29
THD,11472.99917,2025-07-29
VC7,941.6874499999999,2025-07-29
VGI,222806.97984,2025-07-29
ABI,2019.72982,2025-07-29
DCM,19005.46,2025-07-29
FUE,948.64,2025-07-29
LLM,1411.15204,2025-07-29
PGV,21177.37267,2025-07-29
QTP,5895.0,2025-07-29
SHI,2532.24828,2025-07-29
SMB,1259.52855,2025-07-29
TRA,2860.08726,2025-07-29
VCI,30240.81,2025-07-29
VSH,11552.19693,2025-07-29
ACL,601.90823,2025-07-29
AGM,65.52,2025-07-29
DQC,336.20840999999996,2025-07-29
EIB,50852.27257,2025-07-29
GHC,1458.4725,2025-07-29
OGC,1299.0,2025-07-29
PGD,2613.5290099999997,2025-07-29
VBB,9277.661259999999,2025-07-29
VLB,2130.45754,2025-07-29
CCL,431.36947,2025-07-29
FUC,,2025-07-29
HAP,753.29823,2025-07-29
HHC,1729.5525,2025-07-29
OIL,12410.754,2025-07-29
PTB,3581.20456,2025-07-29
SBM,1490.98794,2025-07-29
DCL,1559.42599,2025-07-29
DTD,1160.33736,2025-07-29
DTT,147.54794,2025-07-29
HPW,1395.0904699999999,2025-07-29
MDG,149.70932000000002,2025-07-29
MSN,103848.98675,2025-07-29
SEA,5024.6181,2025-07-29
SSB,56615.5,2025-07-29
TDH,529.468,2025-07-29
VEA,50760.16,2025-07-29
VRC,637.5,2025-07-29
ACC,1459.4998999999998,2025-07-29
BCF,1446.45774,2025-07-29
DNP,2960.28676,2025-07-29
HAX,1762.01077,2025-07-29
HCM,27268.90594,2025-07-29
ND2,1904.7698799999998,2025-07-29
PPC,3558.8049,2025-07-29
VCA,151.87322,2025-07-29
VID,241.34117,2025-07-29
BTP,710.7058000000001,2025-07-29
CDC,879.54864,2025-07-29
FIR,663.58951,2025-07-29
HRT,,2025-07-29
NAF,1254.2374499999999,2025-07-29
NKG,7183.51264,2025-07-29
TPC,191.39413000000002,2025-07-29
CTD,7982.5421,2025-07-29
DIG,14027.55684,2025-07-29
DPM,15496.8367,2025-07-29
DTL,630.56223,2025-07-29
IDI,1964.11148,2025-07-29
IMP,7854.45706,2025-07-29
LIX,2112.48,2025-07-29
MPC,6014.0745,2025-07-29
PSH,214.48863,2025-07-29
RTB,2963.7465,2025-07-29
SGR,2260.45589,2025-07-29
VGR,4604.6,2025-07-29
BWS,3420.25886,2025-07-29
CAP,600.10962,2025-07-29
CMV,144.52070999999998,2025-07-29
DNA,1391.3403,2025-07-29
KSV,32820.0,2025-07-29
POW,34074.23178,2025-07-29
TIG,1781.1770900000001,2025-07-29
TMG,1044.0,2025-07-29
TVT,331.8,2025-07-29
VCW,3375.0,2025-07-29
VPL,154223.83242,2025-07-29
FUE,2157.1,2025-07-29
GMD,23656.827,2025-07-29
HDC,5769.78315,2025-07-29
NBB,2443.899,2025-07-29
REE,36182.76369,2025-07-29
SHS,17710.35196,2025-07-29
STB,90490.35437,2025-07-29
VIX,36677.7451,2025-07-29
AIC,1170.0,2025-07-29
BMP,11730.67242,2025-07-29
CST,659.8403000000001,2025-07-29
DPR,3397.23994,2025-07-29
GIL,1955.7272,2025-07-29
HRC,992.2875300000001,2025-07-29
LEC,107.01,2025-07-29
NTL,2439.598,2025-07-29
TCM,3461.9975299999996,2025-07-29
TLH,667.1809000000001,2025-07-29
VNZ,11486.39683,2025-07-29
ADS,702.83149,2025-07-29
GAS,159301.75849,2025-07-29
ADG,215.94326,2025-07-29
CSM,1367.85346,2025-07-29
DXV,37.62,2025-07-29
HMC,318.04499,2025-07-29
MSB,35880.0,2025-07-29
NSC,1462.19973,2025-07-29
PIT,102.02942,2025-07-29
PNC,306.70157,2025-07-29
TCD,943.656,2025-07-29
TTE,1138.19148,2025-07-29
DAG,84.43975999999999,2025-07-29
FCN,2330.09727,2025-07-29
KMR,179.16509,2025-07-29
MSH,4129.52143,2025-07-29
OCH,1240.0,2025-07-29
SBA,1784.4036999999998,2025-07-29
SGP,6034.6294100000005,2025-07-29
SLS,1865.36552,2025-07-29
SVT,216.38722,2025-07-29
VEF,30271.410789999998,2025-07-29
VHC,12277.587800000001,2025-07-29
VPH,543.53946,2025-07-29
CMF,2592.0,2025-07-29
ELC,2383.74635,2025-07-29
FUE,104.91,2025-07-29
FUE,335.874,2025-07-29
LAS,2302.27056,2025-07-29
SNZ,13026.61628,2025-07-29
VJC,64072.62081,2025-07-29
DSE,8667.45,2025-07-29
FUE,,2025-07-29
ITA,2158.13962,2025-07-29
ITD,342.45964000000004,2025-07-29
KHG,2966.27235,2025-07-29
KPF,73.04069,2025-07-29
ORS,3679.19719,2025-07-29
PRT,2880.0,2025-07-29
PVP,1633.3136200000001,2025-07-29
SAM,3001.6916699999997,2025-07-29
TEG,745.37649,2025-07-29
VCB,509696.18073,2025-07-29
TMP,4473.0,2025-07-29
AAM,76.81619,2025-07-29
BMC,218.11029000000002,2025-07-29
EVF,10457.779779999999,2025-07-29
FUE,,2025-07-29
BIC,4796.62501,2025-07-29
DBD,5164.16766,2025-07-29
DBT,261.76579,2025-07-29
FRT,26039.3266,2025-07-29
GMH,136.95,2025-07-29
ABB,11178.39703,2025-07-29
BSI,11274.56508,2025-07-29
BSQ,855.0,2025-07-29
CEO,12213.18536,2025-07-29
CQN,2394.09296,2025-07-29
DGC,38547.50892,2025-07-29
DSN,556.4225600000001,2025-07-29
HHP,830.9216899999999,2025-07-29
HPG,194573.05941999998,2025-07-29
HPX,1548.21808,2025-07-29
IJC,4967.39125,2025-07-29
NVT,733.05,2025-07-29
PAC,2171.38327,2025-07-29
PGI,2229.0256,2025-07-29
PGS,1739.95803,2025-07-29
SCR,3840.90772,2025-07-29
TSC,626.01138,2025-07-29
VFM,,2025-07-29
